date,time,pid,tid,Phase,Target,Vel,V,A,,
9/26/2025,10:53.8,5399,9060,RampUp,520.4309856599999,500,12.756,328,,-3.9%
9/26/2025,10:53.9,5399,9060,RampUp,522.4057674,500,12.756,349,,-4.3%
9/26/2025,10:53.9,5399,9060,RampUp,524.3072534400001,520,12.751,338,,-0.8%
9/26/2025,10:53.9,5399,9060,RampUp,526.0710087,540,12.756,302,,2.6%
9/26/2025,10:53.9,5399,9060,RampUp,527.9486889,560,12.764000000000001,247,,6.1%
9/26/2025,10:53.9,5399,9060,RampUp,530.2023216399999,560,12.76,211,,5.6%
9/26/2025,10:53.9,5399,9060,RampUp,531.8461493,560,12.76,182,,5.3%
9/26/2025,10:53.9,5399,9060,RampUp,533.4627003,540,12.76,193,,1.2%
9/26/2025,10:54.0,5399,9060,RampUp,535.6036329,540,12.756,233,,0.8%
9/26/2025,10:54.0,5399,9060,RampUp,537.220674,520,12.756,266,,-3.2%
9/26/2025,10:54.0,5399,9060,RampUp,538.8179516,520,12.76,262,,-3.5%
9/26/2025,10:54.0,5399,9060,RampUp,540.419721,520,12.76,262,,-3.8%
9/26/2025,10:54.0,5399,9060,RampUp,542.0686527600001,520,12.756,291,,-4.1%
9/26/2025,10:54.0,5399,9060,RampUp,543.7014554,520,12.756,309,,-4.4%
9/26/2025,10:54.0,5399,9060,RampUp,545.231358,540,12.756,309,,-1.0%
9/26/2025,10:54.0,5399,9060,RampUp,546.7194065599999,560,12.76,291,,2.4%
9/26/2025,10:54.0,5399,9060,RampUp,548.2311791999999,560,12.756,280,,2.1%
9/26/2025,10:54.1,5399,9060,RampUp,549.8667177,560,12.76,244,,1.8%
9/26/2025,10:54.1,5399,9060,RampUp,551.4261021,580,12.76,215,,5.2%
9/26/2025,10:54.1,5399,9060,RampUp,553.0241964,560,12.76,215,,1.3%
9/26/2025,10:54.1,5399,9060,RampUp,554.7287024,560,12.76,218,,1.0%
9/26/2025,10:54.1,5399,9060,RampUp,556.3839225,560,12.756,258,,0.6%
9/26/2025,10:54.1,5399,9060,RampUp,557.9526169,560,12.756,287,,0.4%
9/26/2025,10:54.1,5399,9060,RampUp,559.5040796,560,12.76,295,,0.1%
9/26/2025,10:54.1,5399,9060,RampUp,561.0181388,560,12.756,277,,-0.2%
9/26/2025,10:54.1,5399,9060,RampUp,562.4436306,580,12.756,273,,3.1%
9/26/2025,10:54.2,5399,9060,RampUp,563.9823941,580,12.76,262,,2.8%
9/26/2025,10:54.2,5399,9060,RampUp,565.4326310199999,560,12.756,269,,-1.0%
9/26/2025,10:54.2,5399,9060,RampUp,567.0027952800001,580,12.76,262,,2.3%
9/26/2025,10:54.2,5399,9060,RampUp,568.5108113,580,12.751,266,,2.0%
9/26/2025,10:54.2,5399,9060,RampUp,570.1301389399999,580,12.756,258,,1.7%
9/26/2025,10:54.2,5399,9060,RampUp,571.9774390800001,600,12.756,258,,4.9%
9/26/2025,10:54.2,5399,9060,RampUp,573.5054635,580,12.756,255,,1.1%
9/26/2025,10:54.2,5399,9060,RampUp,575.0614995000001,580,12.756,251,,0.9%
9/26/2025,10:54.2,5399,9060,RampUp,576.6733546,580,12.756,251,,0.6%
9/26/2025,10:54.3,5399,9060,RampUp,578.2563407,580,12.76,255,,0.3%
9/26/2025,10:54.3,5399,9060,RampUp,579.8376933,580,12.76,255,,0.0%
9/26/2025,10:54.3,5399,9060,RampUp,581.4251300599999,600,12.756,255,,3.2%
9/26/2025,10:54.3,5399,9060,RampUp,582.9854127,580,12.756,262,,-0.5%
9/26/2025,10:54.3,5399,9060,RampUp,584.5247071,580,12.756,258,,-0.8%
9/26/2025,10:54.3,5399,9060,RampUp,586.1766606199999,580,12.756,258,,-1.1%
9/26/2025,10:54.3,5399,9060,RampUp,587.8385365000001,580,12.76,251,,-1.3%
9/26/2025,10:54.3,5399,9060,RampUp,589.3846908999999,580,12.76,255,,-1.6%
9/26/2025,10:54.3,5399,9060,RampUp,590.9352552,600,12.756,247,,1.5%
9/26/2025,10:54.4,5399,9060,RampUp,592.6131378,580,12.756,255,,-2.1%
9/26/2025,10:54.4,5399,9060,RampUp,594.3953497,580,12.747,291,,-2.4%
9/26/2025,10:54.4,5399,9060,RampUp,596.0027132,580,12.756,309,,-2.7%
9/26/2025,10:54.4,5399,9060,RampUp,597.5738983599999,600,12.756,298,,0.4%
9/26/2025,10:54.4,5399,9060,RampUp,599.1823643800001,620,12.76,280,,3.5%
9/26/2025,10:54.4,5399,9060,RampUp,601.2232145199999,620,12.756,251,,3.1%
9/26/2025,10:54.4,5399,9060,RampUp,602.7351505,620,12.756,233,,2.9%
9/26/2025,10:54.4,5399,9060,RampUp,604.2695857,620,12.756,222,,2.6%
