date,time,pid,tid,Phase,Target,Vel,V,A,Error
1969-12-31,18:01:06.472000,998,1725,const,1000.0,60.0,12.231,1920.0,100.0
1969-12-31,18:01:06.492000,998,1725,const,1000.0,500.0,12.41,1680.0,76.0
1969-12-31,18:01:06.511000,998,1725,const,1000.0,1080.0,12.454,1064.0,22.0
1969-12-31,18:01:06.741000,998,1725,const,1000.0,980.0,12.506,196.0,0.0
1969-12-31,18:01:06.758000,998,1725,const,1000.0,960.0,12.511000000000001,204.0,2.0
1969-12-31,18:01:06.774000,998,1725,const,1000.0,940.0,12.506,207.0,6.0
1969-12-31,18:01:06.790000,998,1725,const,1000.0,940.0,12.506,236.0,6.0
1969-12-31,18:01:06.807000,998,1725,const,1000.0,920.0,12.506,247.0,8.0
1969-12-31,18:01:06.823000,998,1725,const,1000.0,920.0,12.506,255.0,8.0
1969-12-31,18:01:06.841000,998,1725,const,1000.0,900.0,12.493,328.0,10.0
1969-12-31,18:01:06.858000,998,1725,const,1000.0,920.0,12.498000000000001,331.0,8.0
1969-12-31,18:01:06.874000,998,1725,const,1000.0,940.0,12.502,313.0,6.0
1969-12-31,18:01:06.891000,998,1725,const,1000.0,960.0,12.506,277.0,4.0
1969-12-31,18:01:06.909000,998,1725,const,1000.0,980.0,12.506,236.0,4.0
1969-12-31,18:01:06.930000,998,1725,const,1000.0,960.0,12.506,229.0,2.0
1969-12-31,18:01:06.947000,998,1725,const,1000.0,980.0,12.506,229.0,2.0
1969-12-31,18:01:06.962000,998,1725,const,1000.0,960.0,12.502,225.0,4.0
1969-12-31,18:01:06.978000,998,1725,const,1000.0,960.0,12.506,233.0,6.0
1969-12-31,18:01:06.994000,998,1725,const,1000.0,940.0,12.502,266.0,6.0
1969-12-31,18:01:07.009000,998,1725,const,1000.0,940.0,12.502,262.0,6.0
1969-12-31,18:01:07.025000,998,1725,const,1000.0,940.0,12.502,284.0,4.0
1969-12-31,18:01:07.044000,998,1725,const,1000.0,960.0,12.502,269.0,6.0
1969-12-31,18:01:07.060000,998,1725,const,1000.0,960.0,12.502,273.0,6.0
1969-12-31,18:01:07.075000,998,1725,const,1000.0,960.0,12.506,266.0,4.0
1969-12-31,18:01:07.090000,998,1725,const,1000.0,960.0,12.502,266.0,4.0
1969-12-31,18:01:07.105000,998,1725,const,1000.0,960.0,12.506,258.0,2.0
1969-12-31,18:01:07.121000,998,1725,const,1000.0,960.0,12.502,262.0,4.0
1969-12-31,18:01:07.139000,998,1725,const,1000.0,980.0,12.502,258.0,2.0
1969-12-31,18:01:07.155000,998,1725,const,1000.0,980.0,12.506,236.0,4.0
1969-12-31,18:01:07.174000,998,1725,const,1000.0,980.0,12.506,233.0,2.0
1969-12-31,18:01:07.191000,998,1725,const,1000.0,960.0,12.506,240.0,4.0
1969-12-31,18:01:07.206000,998,1725,const,1000.0,960.0,12.502,269.0,4.0
1969-12-31,18:01:07.219000,998,1725,const,1000.0,960.0,12.506,266.0,4.0
1969-12-31,18:01:07.236000,998,1725,const,1000.0,960.0,12.498000000000001,266.0,4.0
1969-12-31,18:01:07.250000,998,1725,const,1000.0,960.0,12.498000000000001,269.0,4.0
1969-12-31,18:01:07.265000,998,1725,const,1000.0,960.0,12.502,262.0,4.0
1969-12-31,18:01:07.279000,998,1725,const,1000.0,980.0,12.502,262.0,4.0
1969-12-31,18:01:07.299000,998,1725,const,1000.0,980.0,12.506,251.0,2.0
1969-12-31,18:01:07.314000,998,1725,const,1000.0,980.0,12.502,262.0,2.0
1969-12-31,18:01:07.329000,998,1725,const,1000.0,980.0,12.502,258.0,2.0
1969-12-31,18:01:07.344000,998,1725,const,1000.0,980.0,12.506,262.0,2.0
1969-12-31,18:01:07.361000,998,1725,const,1000.0,980.0,12.502,251.0,0.0
1969-12-31,18:01:07.378000,998,1725,const,1000.0,980.0,12.502,255.0,2.0
1969-12-31,18:01:07.394000,998,1725,const,1000.0,980.0,12.502,258.0,2.0
